session,t_ros,topic,linear_x,angular_z
210339_wrong_localization,1786795420.469412565,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.489334822,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.509340286,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.517981052,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795420.529470205,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.543634415,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795420.549494028,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.569453001,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.584567070,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795420.589461088,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.609443188,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.629577160,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.643623829,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795420.649391413,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.651234627,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795420.669320345,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.689361095,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.709339619,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.717888117,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795420.729515791,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.743525267,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795420.749458790,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.769336939,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.784586191,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795420.789283991,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.809340000,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.829620600,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.843554020,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795420.849453449,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.851320982,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795420.869412661,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.889347076,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.909307957,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.917942524,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795420.929589748,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.943614244,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795420.949416399,/cmd_vel,0.000000,0.000000
